,ds,unique_id,x,y_hat,y_test
0,2017-01-31,Insgesamt,Macro,117.82527160644531,
1,2017-02-28,Insgesamt,Macro,118.03456115722656,
2,2017-03-31,Insgesamt,Macro,114.3218994140625,
3,2017-04-30,Insgesamt,Macro,104.0363540649414,
4,2017-05-31,Insgesamt,Macro,112.6969985961914,
5,2017-06-30,Insgesamt,Macro,119.21095275878906,
6,2017-07-31,Insgesamt,Macro,,
7,2017-08-31,Insgesamt,Macro,,
8,2017-09-30,Insgesamt,Macro,,
9,2017-10-31,Insgesamt,Macro,,
10,2017-11-30,Insgesamt,Macro,,
11,2017-12-31,Insgesamt,Macro,,
12,2018-01-31,Insgesamt,Macro,,
13,2018-02-28,Insgesamt,Macro,,
14,2018-03-31,Insgesamt,Macro,,
15,2018-04-30,Insgesamt,Macro,,
16,2018-05-31,Insgesamt,Macro,,
17,2018-06-30,Insgesamt,Macro,,
18,2018-07-31,Insgesamt,Macro,,
19,2018-08-31,Insgesamt,Macro,,
20,2018-09-30,Insgesamt,Macro,,
21,2018-10-31,Insgesamt,Macro,,
22,2018-11-30,Insgesamt,Macro,,
23,2018-12-31,Insgesamt,Macro,,
24,2019-01-31,Insgesamt,Macro,,
25,2019-02-28,Insgesamt,Macro,,
26,2019-03-31,Insgesamt,Macro,,
27,2019-04-30,Insgesamt,Macro,,
28,2019-05-31,Insgesamt,Macro,,
29,2019-06-30,Insgesamt,Macro,,
30,2019-07-31,Insgesamt,Macro,,
31,2019-08-31,Insgesamt,Macro,,
32,2019-09-30,Insgesamt,Macro,,
33,2019-10-31,Insgesamt,Macro,,
34,2019-11-30,Insgesamt,Macro,,
35,2019-12-31,Insgesamt,Macro,,
36,2020-01-31,Insgesamt,Macro,,
37,2020-02-29,Insgesamt,Macro,,
38,2020-03-31,Insgesamt,Macro,,
39,2020-04-30,Insgesamt,Macro,,
40,2020-05-31,Insgesamt,Macro,,
41,2020-06-30,Insgesamt,Macro,,
42,2020-07-31,Insgesamt,Macro,,
43,2020-08-31,Insgesamt,Macro,,
44,2020-09-30,Insgesamt,Macro,,
45,2020-10-31,Insgesamt,Macro,,
46,2020-11-30,Insgesamt,Macro,,
47,2020-12-31,Insgesamt,Macro,,
48,2021-01-31,Insgesamt,Macro,,
49,2021-02-28,Insgesamt,Macro,,
50,2021-03-31,Insgesamt,Macro,,
51,2021-04-30,Insgesamt,Macro,,
52,2021-05-31,Insgesamt,Macro,,
53,2021-06-30,Insgesamt,Macro,,
54,2021-07-31,Insgesamt,Macro,,
55,2021-08-31,Insgesamt,Macro,,
56,2021-09-30,Insgesamt,Macro,,
57,2021-10-31,Insgesamt,Macro,,
58,2021-11-30,Insgesamt,Macro,,
59,2021-12-31,Insgesamt,Macro,,
60,2022-01-31,Insgesamt,Macro,,
61,2022-02-28,Insgesamt,Macro,,
62,2022-03-31,Insgesamt,Macro,,
63,2022-04-30,Insgesamt,Macro,,
64,2022-05-31,Insgesamt,Macro,,
65,2022-06-30,Insgesamt,Macro,,
66,2022-07-31,Insgesamt,Macro,,
67,2022-08-31,Insgesamt,Macro,,
68,2022-09-30,Insgesamt,Macro,,
69,2022-10-31,Insgesamt,Macro,,
70,2022-11-30,Insgesamt,Macro,,
71,2022-12-31,Insgesamt,Macro,,
72,2023-01-31,Insgesamt,Macro,,
73,2023-02-28,Insgesamt,Macro,,
74,2023-03-31,Insgesamt,Macro,,
75,2023-04-30,Insgesamt,Macro,,
76,2023-05-31,Insgesamt,Macro,,
77,2023-06-30,Insgesamt,Macro,,
78,2023-07-31,Insgesamt,Macro,,
79,2023-08-31,Insgesamt,Macro,,
80,2023-09-30,Insgesamt,Macro,,
81,2023-10-31,Insgesamt,Macro,,
82,2023-11-30,Insgesamt,Macro,,
83,2023-12-31,Insgesamt,Macro,,
84,2024-01-31,Insgesamt,Macro,,
85,2024-02-29,Insgesamt,Macro,,
86,2024-03-31,Insgesamt,Macro,,
